x1,x2,y,
-2.264511822,-0.341950464,-0.240510698,
1.37285584,-4.593948649,-0.020333428,
-0.934311831,0.191576674,-1.383590401,
3.421172297,-1.715409199,0.385333261,
-2.584549594,4.506972441,0.01081259,
-1.878753513,1.788461857,-0.608717931,
-2.780329732,-3.673788429,0.080235169,
-3.085303195,-2.878453498,-0.511496713,
-1.145134042,-2.601403113,0.093589201,
2.765796545,1.833737687,0.18481828,
0.909249635,1.737719591,-0.570446721,
-1.043485191,4.059019263,-0.787142192,
-1.871961657,0.64027521,-0.368040765,
-4.588541227,1.231723109,0.147862991,
-2.439160652,1.696030075,-0.167684345,
4.602483931,2.297884134,1.619918681,
-1.32462349,4.479223317,0.747168037,
3.545386997,-2.677917298,0.078649938,
-2.873039593,3.115471411,-0.287428958,
-4.553459336,0.26093765,0.209458587,
-4.763641328,2.633147367,-0.034327205,
3.122407059,-1.441260097,2.312317811,
3.590160118,-0.999509496,-0.125348365,
4.531489111,0.00724697,-1.833867707,
0.226852078,-1.574819627,-0.970922954,
-2.158683287,-3.796787097,0.026118871,
-4.890191616,2.770197636,-0.024929692,
-1.706191324,-2.260081553,0.500664005,
2.262144773,-3.091861283,-0.471976079,
-4.944876537,-4.27347191,-0.009330175,
3.108725952,1.761992908,0.460245297,
-1.984645721,-0.145719909,-0.776980051,
4.480164431,-4.830281878,0.666835728,
-0.838215218,-1.645639331,5.496398836,
-3.100805055,1.699036329,0.408439423,
-0.270150525,1.141517788,0.036490143,
4.512105284,-2.174422717,1.415637038,
3.997410498,4.737975509,-0.523048228,
2.76132654,-4.927919089,-0.196455427,
3.786173175,-1.23188552,-0.55080126,
3.878339645,4.459754448,0.179428798,
0.892231483,2.373788325,0.618802487,
2.065168725,-2.993062718,-0.222608036,
4.459174512,-3.918164507,0.836159578,
-4.649375147,-1.268316738,-0.458191928,
-2.253691337,0.282821428,0.142303044,
1.328603744,0.690994175,-0.040940495,
-4.411262495,0.931578811,-0.114521268,
-4.472105921,-1.64663316,-0.352769289,
1.081619576,2.563274706,-0.027822345,
-4.576653866,1.265568773,0.168467707,
-0.029867321,-4.769632135,0.203435902,
-4.327810274,-3.931341795,0.004655249,
-3.619543669,-1.220196297,0.521859232,
3.399003859,-4.884243215,-0.383491232,
-0.025256867,3.15992681,0.578677138,
3.920742197,-0.043763129,-0.415282427,
4.189302106,0.785871327,-0.109939195,
4.341623761,4.662579079,-1.064914596,
1.500335016,-3.104455929,0.062071471,
-2.766586518,0.267160315,-0.240682868,
1.343273526,-2.554365007,-0.046199291,
2.806551604,3.4716323,-0.095916972,
4.110890265,-2.200203242,0.065330893,
-1.702283806,-4.468314134,-1.415453079,
1.704686952,-1.4975767,-0.738560416,
-4.42097169,1.156225336,0.057556271,
1.254208866,1.068240731,-0.014661311,
4.721403012,-0.561917692,4.330622192,
0.06531037,-3.885500356,0.436384315,
-3.796077084,-3.229488449,-0.114014797,
-1.642212831,1.247867304,1.586698154,
-4.246506065,0.053214915,0.113117351,
-2.567295006,-0.898768772,0.744512117,
-3.77252563,-3.533149048,0.331836496,
3.598035032,4.665598364,0.076037446,
-4.085295234,-2.909846998,-0.397904664,
0.03387554,4.34126641,1.115824527,
-1.372187825,-2.417392492,-1.720710475,
1.6017681,1.816158772,-0.120347749,
-0.950390075,3.580025307,0.709512439,
4.547374739,-0.200693623,-3.948062225,
1.398478475,1.725691032,-0.022422968,
-4.786395556,2.349059066,0.056465032,
0.975798797,-3.588988219,-0.434805431,
-2.289758306,-0.249359787,-0.406535363,
